Introduction	引言
Hausman Tests	豪斯曼检验
Thus the Hausman statistic is	因此豪斯曼统计量是
which is precisely the Wald statistic	这正是 Wald 统计量
Theorem 9.7 For general hypotheses the Hausman test statistic is	定理 9.7 对于一般假设，Hausman 检验统计量为
Score Tests	分数检验
Score tests are traditionally derived in likelihood analysis but can more generally be constructed from first-order conditions evaluated at restricted estimates	分数检验传统上是通过似然分析得出的，但更一般地可以根据在有限估计下评估的一阶条件构建
We focus on the likelihood derivation	我们关注似然推导
The idea is that if the restriction is true then the restricted estimators should be close to the maximum of the log-likelihood where the derivative is zero	这个想法是，如果约束为真，那么受约束的估计量应该接近导数为零的对数似然的最大值
The constrained MLE under linear hypotheses is constrained least squares	线性假设下的约束 MLE 是约束最小二乘
We can calculate that the derivative and Hessian are	我们可以计算出导数和 Hessian 为
This is not a concern for linear restrictions	这不是线性约束的问题
More generally, score and score-like statistics can be constructed from first-order conditions evaluated at restricted parameter estimates	更一般地，分数和类分数统计可以根据在受限参数估计下评估的一阶条件来构造
restricted residuals) then these are often described as score tests	此外，当使用协方差矩阵估计构建检验统计量（使用受限参数估计（例如受限残差）计算）时，这些通常被描述为分数检验
An example of the latter is the Wald-type statistic	后者的一个例子是 Wald 型统计量
Problems with Tests of Nonlinear Hypotheses	非线性假设检验的问题
This is an unfortunate feature of the Wald statistic	这是沃尔德统计数据的一个不幸的特征
Through repetition, features of this distribution can be calculated	通过重复，可以计算出该分布的特征
While this is clear in this particular example, in other examples natural choices are not obvious and the best choices may be counter-intuitive	虽然这一点在这个特定示例中很明显，但在其他示例中，自然选择并不明显，并且最优选择可能是反直觉的
This point can be illustrated through an example based on Gregory and Veall (1985)	这一点可以通过 Gregory 和 Veall (1985) 的例子来说明
Rejection frequencies from 50,000 simulated random samples	50,000 个模拟随机样本的拒绝频率
An alternative statistic can be constructed through reformulating the null hypothesis as	可以通过将零假设重新表述为来构建替代统计量
A t-statistic based on this formulation of the hypothesis is	基于该假设表述的 t 统计量为
The common message from both examples is that Wald statistics are sensitive to the algebraic formulation of the null hypothesis	这两个例子的共同信息是 Wald 统计量对原假设的代数表述很敏感
Whenever possible, the Wald statistic should not be used to test nonlinear hypotheses	只要有可能，Wald 统计量就不应用于检验非线性假设
Theoretical investigations of these issues include Park and Phillips (1988) and Dufour (1997)	对这些问题的理论研究包括 Park 和 Phillips (1988) 以及 Dufour (1997)
Monte Carlo Simulation	蒙特卡罗模拟
In this section we describe the method in more detail	在本节中，我们将更详细地描述该方法
The name Monte Carlo derives from the Mediterranean gambling resort where games of chance are played	蒙特卡洛这个名字源自地中海赌博胜地，那里进行机会游戏
The method of Monte Carlo is simple to describe	蒙特卡罗方法描述起来很简单
Then the following experiment is conducted by computer simulation:	然后通过计算机模拟进行如下实验：
We will discuss this choice later	我们稍后会讨论这个选择
From a random sample we can estimate any feature of interest using (typically) a method of moments estimator	从随机样本中，我们可以使用（通常）矩估计量的方法来估计任何感兴趣的特征
We now describe some specific examples	我们现在描述一些具体的例子
Suppose we are interested in the Type I error associated with an asymptotic 5% two-sided t-test	假设我们对与渐近 5% 双边 t 检验相关的 I 类错误感兴趣
The typical purpose of a Monte Carlo simulation is to investigate the performance of a statistical procedure in realistic settings	蒙特卡罗模拟的典型目的是研究统计过程在现实环境中的性能
In particular, it is simple to make inferences about rejection probabilities from statistical tests, such as the percentage estimate reported in (9.15)	特别是，从统计检验中推断拒绝概率很简单，例如（9.15）中报告的百分比估计
In this case it is appropriate to conclude that your results "replicate" the previous study as there is no statistical evidence to reject the hypothesis that they are equivalent	在这种情况下，适当的做法是得出结论，你的结果“复现”了先前的研究，因为没有统计证据可以拒绝它们是等效的假设
Most journals have policies requiring authors to make available their data sets and computer programs required for empirical results	大多数期刊都有政策要求作者提供实证结果所需的数据集和计算机程序
This invites others to build on and use your results, leading to possible collaboration, citation, and/or advancement	这会邀请其他人以你的成果为基础并使用你的成果，从而实现可能的合作、引用和/或进步
Confidence Intervals by Test Inversion	检验反演的置信区间
There is a close relationship between hypothesis tests and confidence intervals	假设检验和置信区间之间存在密切关系
Thus inverting a test with good Type I error probabilities yields a confidence interval with good coverage probabilities	因此，对具有良好 I 类错误概率的检验进行反演会产生具有良好覆盖概率的置信区间
For example, in the wage equation	例如，在工资方程中
Multiple Tests and Bonferroni Corrections	多重检验和 Bonferroni 修正
In most applications economists examine a large number of estimates, test statistics, and p-values	在大多数应用中，经济学家都会检查大量的估计值、检验统计数据和 p 值
What does it mean (or does it mean anything) if one statistic appears to be "significant" after examining a large number of statistics? This is known as the problem of multiple testing or multiple comparisons	如果在检查大量统计数据后一项统计数据似乎“显着”，这意味着什么（或者有什么意义）？这称为多重检验或多重比较的问题
Power and Test Consistency	功率和检验一致性
The power of the test is	检验的功效为
We call this property test consistency	我们将此特征称为一致性检验
In general, t-tests and Wald tests are consistent against fixed alternatives	一般来说，t 检验和 Wald 检验与固定替代方案是一致的
Again, this implies that Wald tests are consistent	这再次表明 Wald 检验是一致的
Asymptotic Local Power	渐近局部幂
Consistency is a good property for a test but is does not provided a tool to calculate test power	一致性对于检验来说是一个很好的特征，但没有提供计算检验功效的工具
To approximate the power function we need a distributional approximation	为了近似幂函数，我们需要分布近似
The standard asymptotic method for power analysis uses what are called local alternatives	功效分析的标准渐近方法使用所谓的局部替代方法
Instead, it should be interpreted as a technical device which allows the asymptotic distribution to be continuous in the alternative hypothesis	相反，它应该被解释为一种允许渐近分布在备择假设中连续的技术手段
where the second equality is (9.17)	其中第二个等式是 (9.17)
Decreasing size induces a decrease in power, and conversely	尺寸减小会导致功率减小，反之亦然
Figure 9.3: Asymptotic Local Power Function	图 9.3：渐近局部幂函数
The difference between power functions can be measured either vertically or horizontally	幂函数之间的差异可以垂直或水平测量
This is the difference in power across tests of differing size, holding fixed the parameter in the alternative	这是不同规模的检验之间功效的差异，在替代方案中保持固定参数
A horizontal comparison can also be illuminating	横向比较也可以具有启发性
and thus the local power of a two-sided t test is	因此双边 t 检验的局部功效为
Asymptotic Local Power, Vector Case	渐近局部幂，向量情况
In this section we extend the local power analysis of the previous section to the case of vector-valued alternatives	在本节中，我们将上一节的局部功效分析扩展到向量值替代方案的情况
Applied to the Wald statistic we find	应用于 Wald 统计我们发现
Resampling Methods	重采样方法
So far in this textbook we have discussed two approaches to inference: exact and asymptotic	到目前为止，在本教科书中，我们已经讨论了两种推断方法：精确推断和渐近推断
Asymptotic theory provides a more flexible distribution theory but is an approximation with uncertain accuracy	渐近理论提供了一种更灵活的分布理论，但它是一种精度不确定的近似
In this chapter we introduce a set of alternative inference methods which are based around the concept of resampling - which means using sampling information extracted from the empirical distribution of the data	在本章中，我们介绍了一组基于重采样概念的替代推断方法，这意味着使用从数据的经验分布中提取的采样信息
A consequence of the computation requirement is that most empirical researchers use asymptotic approximations for routine calculations while resampling approximations are used for final reporting	计算要求的结果是，大多数实证研究人员使用渐近近似进行常规计算，而重采样近似用于最终报告
We will discuss two categories of resampling methods used in statistical and econometric practice: jackknife and bootstrap	我们将讨论统计和计量经济学实践中使用的两类重采样方法：折刀法和引导法
Most of our attention will be given to the bootstrap as it is the most commonly used resampling method in econometric practice	我们的大部分注意力将集中在引导程序上，因为它是计量经济学实践中最常用的重采样方法
The jackknife is most commonly used for variance estimation	折刀法最常用于方差估计
(There are other variants of bootstrap sampling, including parametric sampling and residual sampling.) The bootstrap is commonly used for variance estimation, confidence interval construction, and hypothesis testing	）引导抽样通常用于方差估计、置信区间构建和假设检验
There is a third category of resampling methods known as sub-sampling which we will not cover in this textbook	第三类重采样方法称为二次采样，我们不会在本教科书中介绍
See the excellent monograph by Politis, Romano and Wolf (1999)	请参阅 Politis、Romano 和 Wolf (1999) 撰写的优秀专着
Example	例子
To motivate our discussion we focus on the application presented in Section 3.7, which is a bivariate regression applied to the CPS subsample of married Black female wage earners with 12 years potential work experience and displayed in Table 3.1	为了激发我们的讨论，我们重点关注第 3.7 节中提出的应用程序，这是一个二元回归，适用于具有 12 年潜在工作经验的已婚黑人女性工薪者的 CPS 子样本，并显示在表 3.1 中
The estimates as reported in (4.44) are	(4.44) 中报告的估计是
We focus on four estimates constructed from this regression	我们重点关注根据该回归构建的四个估计值
We are interested in calculating standard errors and confidence intervals for the four estimates described above	我们有兴趣计算上述四个估计的标准误差和置信区间
Jackknife Estimation of Variance	方差的折刀估计
The jackknife estimates moments of estimators using the distribution of the leave-one-out estimators	Jackknife 使用留一估计量的分布来估计估计量的矩
The idea was expanded further in the monographs of Efron (1982) and Shao and Tu (1995)	这个想法在 Efron (1982) 以及 Shao 和 Tu (1995) 的专着中得到了进一步扩展
The main attractions of the jackknife estimator are that it can be used when an explicit asymptotic variance formula is not available and that it can be used as a check on the reliability of an asymptotic formula	Jackknife 估计量的主要吸引力在于，它可以在显式渐近方差公式不可用时使用，并且可以用作渐近公式可靠性的检查
The formula (10.1) is not immediately intuitive so may benefit from some motivation	公式（10.1）并不直观，因此可能会受益于一些动机
The sample mean of the leave-one-out estimators is	留一估计量的样本均值是
The jackknife estimate of variance (10.1) is then	方差的折刀估计 (10.1) 则为
We next examine the case of least squares regression coefficient estimator	接下来我们研究最小二乘回归系数估计量的情况
This is further confirmation that the jackknife is making a reasonable calculation	这进一步证实了折刀的计算是合理的
The second equality is (10.4)	第二个等式是(10.4)
This argument extends directly to any "smooth function" estimator	这个论点直接扩展到任何“平滑函数”估计量
We illustrate by reporting the asymptotic and jackknife standard errors for the four parameter estimates given earlier	我们通过报告前面给出的四个参数估计的渐近和折刀标准误差来进行说明
For comparison the asymptotic standard errors are reported in the final row	为了进行比较，最后一行报告了渐近标准误差
For all estimates the jackknife and asymptotic standard errors are quite similar	对于所有估计，折刀误差和渐近标准误差都非常相似
The take-away from our presentation is that the jackknife is a simple and flexible method for variance and standard error calculation	我们的演示的要点是，折刀法是一种简单而灵活的方差和标准误差计算方法
They can also be used as a double-check on the reasonableness of asymptotic delta-method calculations	它们还可以用作渐近 delta 方法计算合理性的双重检查
In Stata, jackknife standard errors for coefficient estimates in many models are obtained by the vce(jackknife) option	在 Stata 中，许多模型中系数估计的折刀标准误差是通过 vce(jackknife) 选项获得的
For nonlinear functions of the coefficients or other estimators the jackkn ife command can be combined with any other command to obtain jackknife standard errors	对于系数或其他估计量的非线性函数，jackkn ife 命令可以与任何其他命令组合以获得 jackknife 标准误差
To illustrate, below we list the Stata commands which calculate the jackknife standard errors listed above	为了说明这一点，下面我们列出了计算上面列出的折刀标准误差的 Stata 命令
Table 10.1: Leave-one-out Estimators and Jackknife Standard Errors	表 10.1：留一估计量和折刀标准误
Jackknife for Clustered Observations	用于群组观测的刀刀
Using the same approximations as the previous section we can show that the delete-cluster jackknife estimator is asymptotically equivalent to the cluster-robust covariance matrix estimator (4.59) calculated with the delete-cluster prediction errors	使用与上一节相同的近似，我们可以证明删除群组折刀估计量渐近等效于使用删除群组预测误差计算的群组稳健协方差矩阵估计量（4.59）
This verifies that the delete-cluster jackknife is the appropriate jackknife approach for clustered dependence	这验证了删除群组刀刀法是适用于群组依赖的刀刀法方法
This shows that the jackknife estimator is appropriate for covariance matrix estimation	这表明折刀估计量适合协方差矩阵估计
As in the context of i.i.d. samples, one advantage of the jackknife covariance matrix estimators is that they do not require the user to make a technical calculation of the asymptotic distribution	正如在 i.i.d. 的上下文中一样
In Stata, jackknife standard errors for coefficient estimates with clustered observations are obtained by using the options cluster (id) vce(jackkn ife) where id denotes the cluster variable	在 Stata 中，通过使用选项 cluster (id) vce(jackkn ife) 获得群组观测值的系数估计的杰克刀标准误差，其中 id 表示群组变量
The Bootstrap Algorithm	引导算法
The bootstrap is a powerful approach to inference and is due to the pioneering work of Efron (1979)	Bootstrap 是一种强大的推断方法，归功于 Efron (1979) 的开创性工作
There are several ways to describe or define the bootstrap and there are several forms of the bootstrap	有多种方法来描述或定义引导程序，并且引导程序有多种形式
In subsequent sections we give more formal definitions of the bootstrap as well as theoretical justifications	在后续部分中，我们给出引导程序的更正式的定义以及理论依据
sampling (sampling with replacement) from the original dataset	从原始数据集中采样（放回采样）
To understand this it is useful to start with the concept of sampling with replacement from the dataset	为了理解这一点，从数据集中替换采样的概念开始是很有用的
We call this the bootstrap sample	我们称之为引导样本
Once again, the bootstrap sample is the constructed dataset with the 20 observations drawn randomly from the original sample	同样，引导样本是构建的数据集，其中包含从原始样本中随机抽取的 20 个观测值
This is one draw from the bootstrap distribution of the estimates	这是从估计值的引导分布中得出的一项结论
Bootstrap Variance and Standard Errors	自举方差和标准误差
Given the bootstrap draws we can estimate features of the bootstrap distribution	给定引导程序绘制，我们可以估计引导程序分布的特征
This is a very simple statistic to calculate and is the most common use of the bootstrap in applied econometric practice	这是一个计算起来非常简单的统计数据，也是应用计量经济学实践中引导程序最常见的用途
A caveat (discussed in more detail in Section 10.15) is that in many cases it is better to use a trimmed estimator	需要注意的是（在第 10.15 节中更详细地讨论），在许多情况下最好使用修剪估计量
Standard errors are conventionally reported to convey the precision of the estimator	通常报告标准误差来传达估计量的精度
In general, bootstrap standard errors should be used as estimates of precision rather than as tools to construct confidence intervals	一般来说，引导标准误差应用作精度估计，而不是用作构建置信区间的工具
They should be similar (up to simulation sampling error) but not precisely the same	它们应该相似（取决于模拟采样误差）但不完全相同
We also report four bootstrap confidence intervals which will be introduced in subsequent sections	我们还报告了四个引导置信区间，将在后续部分中介绍
For these four estimators we can see that the bootstrap standard errors are quite similar to the asymptotic and jackknife standard errors	对于这四个估计量，我们可以看到引导标准误差与渐近标准误差和折刀标准误差非常相似
Table 10.2: Comparison of Methods	表 10.2：方法比较
In Stata, bootstrap standard errors for coefficient estimates in many models are obtained by the vce(bootstrap, reps(\#)) option, where \# is the number of bootstrap replications	在 Stata 中，许多模型中系数估计的引导标准误差是通过 vce(bootstrap,reps(\#)) 选项获得的，其中 \# 是引导复制的数量
Synonyms for bootstrap are bstrap and bs	bootstrap 的同义词是 bstrap 和 bs
Percentile Interval	百分位数区间
The second most common use of bootstrap methods is for confidence intervals	引导方法的第二个最常见用途是置信区间
It is based on the quantiles of the bootstrap distribution	它基于引导分布的分位数
The percentile interval has the convenience that it does not require calculation of a standard error	百分位数区间的优点是不需要计算标准误差
The percentile interval has the useful property that it is transformation-respecting	百分位数区间具有一个有用的特征，即它尊重变换
The bootstrap percentile intervals for the four estimators are reported in Table 13.2	表 13.2 报告了四个估计量的自举百分位数区间
In Stata, percentile confidence intervals can be obtained by using the command estat bootstrap, percentile or the command estat bootstrap, all after an estimation command which calculates standard errors via the bootstrap	在 Stata 中，可以使用命令 estat bootstrap、percentile 或命令 estat bootstrap 获得百分位数置信区间，所有这些都在通过 bootstrap 计算标准误差的估计命令之后
The Bootstrap Distribution	Bootstrap 分布
For applications it is often sufficient if one understands the bootstrap as an algorithm	对于应用程序来说，如果将引导程序理解为一种算法，通常就足够了
For this it is useful to introduce some additional notation	为此，引入一些附加符号很有用
The key is that the distribution of any estimator or statistic is determined by the distribution of the data	关键是任何估计量或统计量的分布都是由数据的分布决定的
This is what the bootstrap does	这就是引导程序的作用
For example, we want to know its variance to calculate a standard error or its quantiles to calculate a percentile interval	例如，我们想知道其方差以计算标准误差或其分位数以计算百分位数间隔
The bootstrap simultaneously circumvents these two barriers by two clever ideas	引导程序通过两个巧妙的想法同时规避了这两个障碍
Only by considering these steps together do we obtain a feasible method	只有综合考虑这些步骤，我们才能得到可行的方法
We now carefully explain the connection with the bootstrap algorithm as previously described	我们现在仔细解释与前面描述的引导算法的连接
Third, observe that the distribution of these bootstrap estimators is the bootstrap distribution (10.9)	第三，观察这些自举估计量的分布是自举分布（10.9）
In the next several sections we develop an asymptotic distribution theory for the bootstrap distribution based on extending asymptotic theory to the case of conditional distributions	在接下来的几节中，我们基于将渐近理论扩展到条件分布的情况，开发了自举分布的渐近分布理论
The Distribution of the Bootstrap Observations	Bootstrap 观测值的分布
Notationally, the starred distribution and expectation are conditional given the data	从符号上讲，加星号的分布和期望是条件给定数据
Thus even if the original data come from a continuous distribution, the bootstrap data distribution is discrete	因此，即使原始数据来自连续分布，引导数据分布也是离散的
The Distribution of the Bootstrap Sample Mean	Bootstrap 样本均值的分布
The bootstrap sample mean is	自举样本均值是
We can calculate its (conditional) mean and variance	我们可以计算它的（条件）均值和方差
The (conditional) variance of the bootstrap sample mean is	自举样本均值的（条件）方差为
The moments (10.14) are exact, not approximations	矩 (10.14) 是精确的，而不是近似值
Bootstrap Asymptotics	自举渐进
Indeed, this is the case, but we have to be a bit careful since the bootstrap mean has a conditional distribution (given the data) so we need to define convergence in probability for conditional distributions	确实如此，但我们必须小心一点，因为引导均值具有条件分布（给定数据），因此我们需要定义条件分布的概率收敛
Note that there are two uses of probability - both unconditional and conditional	请注意，概率有两种用途：无条件概率和有条件概率
Our label "convergence in bootstrap probability" is a bit unusual	我们的标签“引导概率收敛”有点不寻常
We do not use this concept in this chapter as it is an unnecessary complication	我们在本章中不使用这个概念，因为它是不必要的复杂化
The following may seem obvious but it is useful to state for clarity	以下内容可能看起来很明显，但为了清楚起见，进行说明很有用
Given Definition 10.1, we can establish a law of large numbers for the bootstrap sample mean	给定定义 10.1，我们可以为引导样本均值建立大数定律
The proof (presented in Section 10.31) is somewhat different from the classical case as it is based on the Marcinkiewicz WLLN (Theorem 10.20, presented in Section 10.31)	该证明（第 10.31 节中介绍）与经典案例有些不同，因为它基于 Marcinkiewicz WLLN（定理 10.20，第 10.31 节中介绍）
Notice that the conditions for the bootstrap WLLN are the same for the conventional WLLN	请注意，引导 WLLN 的条件与传统 WLLN 的条件相同
Theorem 10.3 Bootstrap Continuous Mapping Theorem	定理10.3 Bootstrap连续映射定理
We next would like to show that the bootstrap sample mean is asymptotically normally distributed, but for that we need a definition of convergence for conditional distributions	接下来我们想证明自举样本均值是渐近正态分布的，但为此我们需要条件分布收敛的定义
We now state a CLT for the bootstrap sample mean, with a proof given in Section 10.31	现在，我们声明引导样本均值的 CLT，并在第 10.31 节中给出证明
Theorem 10.4 Bootstrap CLT	定理 10.4 Bootstrap CLT
We next state the distributional form of the continuous mapping theorem for bootstrap distributions and the Bootstrap Delta Method	接下来我们阐述引导分布的连续映射定理的分布形式和引导 Delta 方法
Theorem 10.6 Bootstrap Delta Method:	定理10.6 Bootstrap Delta方法：
For a proof, see Exercise 10.7	证明请参见练习 10.7
We state an analog of Theorem 6.10, which presented the asymptotic distribution for general smooth functions of sample means, which covers most econometric estimators	我们对定理 6.10 进行了模拟，该定理提出了样本均值的一般平滑函数的渐近分布，涵盖了大多数计量经济学估计量
For a proof, see Exercise 10.8	证明请参见练习 10.8
For some bootstrap applications we use bootstrap estimates of variance	对于某些引导程序应用程序，我们使用引导程序方差估计
For a proof, see Exercise 10.9	证明请参见练习 10.9
Consistency of the Bootstrap Estimate of Variance	Bootstrap 方差估计的一致性
To do so it is useful to focus on a normalized version of the estimator so that the asymptotic variance is not degenerate	为此，关注估计量的归一化版本很有用，这样渐近方差就不会退化
This condition is reasonably straightforward to verify for the case of a scalar sample mean with a finite variance	对于具有有限方差的标量样本均值的情况，验证此条件相当简单
Now consider the smooth function model of Theorem 10.7	现在考虑定理 10.7 的平滑函数模型
We can establish the following result	我们可以得出以下结果
This shows that the bootstrap estimate of variance is consistent for a reasonably broad class of estimators	这表明方差的引导估计对于相当广泛的估计量类别是一致的
Trimmed Estimator of Bootstrap Variance	Bootstrap 方差的修剪估计量
In these cases it is preferred to use a trimmed estimator of bootstrap variance	在这些情况下，最好使用自举方差的修剪估计量
The trimmed bootstrap estimator of variance is	方差的修剪自举估计量为
This is shown in the following result, whose proof is presented in Section 10.31	这显示在下面的结果中，其证明在第 10.31 节中给出
This justifies bootstrap standard errors as consistent estimators for the asymptotic distribution	这证明了引导标准误差作为渐近分布的一致估计量是合理的
An important caveat is that these results critically rely on the trimmed variance estimator	一个重要的警告是，这些结果严重依赖于修剪方差估计量
Unreliability of Untrimmed Bootstrap Standard Errors	未修剪的引导标准误差的不可靠性
In the previous section we presented a trimmed bootstrap variance estimator which should be used to form bootstrap standard errors for nonlinear estimators	在上一节中，我们提出了一个修剪后的引导方差估计量，该估计量应用于形成非线性估计量的引导标准误差
Otherwise, the untrimmed estimator is potentially unreliable	否则，未修剪的估计量可能不可靠
This is an unfortunate situation, because reporting of bootstrap standard errors is commonplace in contemporary applied econometric practice, and standard applications (including Stata) use the untrimmed estimator	这是一种不幸的情况，因为引导标准误差的报告在当代应用计量经济学实践中很常见，并且标准应用程序（包括 Stata）使用未修剪的估计量
To illustrate the seriousness of the problem we use the simple wage regression (7.31) which we repeat here	为了说明问题的严重性，我们使用简单的工资回归（7.31），我们在这里重复一下
When there is an enormous discrepancy like this between the asymptotic and bootstrap standard error, and between bootstrap runs, it is a signal that there may be moment failure and consequently bootstrap standard errors are unreliable	当渐近标准误差和自举标准误差之间以及自举运行之间存在如此巨大的差异时，这是一个信号，表明可能存在瞬间故障，因此自举标准误差是不可靠的
One message from this application is that when different methods produce very different standard errors we should be cautious about trusting any single method	该应用程序发出的一条消息是，当不同的方法产生截然不同的标准误差时，我们应该谨慎信任任何单一方法
Trimmed versions are preferred, especially for nonlinear functions of estimated coefficients	修剪版本是首选，特别是对于估计系数的非线性函数
Table 10.3: Experience Level Which Maximizes Expected log Wages	表 10.3：使预期日志工资最大化的经验水平
Consistency of the Percentile Interval	百分位数区间的一致性
Recall the percentile interval (10.8)	回想一下百分位数区间 (10.8)
The assumptions (10.18)-(10.19) hold for the smooth function model of Theorem 10.7, so this result incorporates many applications	假设(10.18)-(10.19)对于定理10.7的光滑函数模型成立，因此该结果具有许多应用
The convergence holds by (10.18) and (10.20)	(10.18) 和 (10.20) 收敛成立
It is also worthwhile to investigate a finite sample justification for the percentile interval based on a heuristic analogy due to Efron	基于 Efron 的启发式类比，研究百分位区间的有限样本合理性也是值得的
Without symmetry the coverage will be incorrect	如果不对称，覆盖范围将不正确
Intuitively, we expect that when the assumptions are approximately true then the percentile interval will have approximately correct coverage	直观上，我们期望当假设近似正确时，百分位数区间将具有近似正确的覆盖范围
This argument has the following application	这个论点有以下应用
Bias-Corrected Percentile Interval	偏误校正百分位数区间
The accuracy of the percentile interval depends critically upon the assumption that the sampling distribution is approximately symmetrically distributed	百分位数间隔的准确性主要取决于采样分布近似对称分布的假设
Consequently it is difficult to expect the percentile method to generally have accurate coverage	因此，很难期望百分位数法通常具有准确的覆盖范围
To reduce the bias problem Efron (1982) introduced the bias-corrected (BC) percentile interval	为了减少偏误问题，Efron (1982) 引入了偏误校正 (BC) 百分位数区间
The construction of the BC interval is not intuitive	BC 区间的构造并不直观
Since the distribution is pivotal the result carries over to the bootstrap distribution	由于分布至关重要，因此结果会延续至引导分布
From (10.26) we deduce that	从 (10.26) 我们推出
This shows that the BC interval (10.25) has exact coverage under the assumption (10.21)	这表明 BC 区间 (10.25) 在假设 (10.21) 下具有精确的覆盖范围
An important property of the BC percentile interval is that it is transformation-respecting (like the percentile interval)	BC 百分位数区间的一个重要特征是它尊重变换（与百分位数区间一样）
The bootstrap BC percentile intervals for the four estimators are reported in Table 13.2	表 13.2 报告了四个估计量的 Bootstrap BC 百分位数区间
In Stata, BC percentile confidence intervals can be obtained by using the command estat bootstrap after an estimation command which calculates standard errors via the bootstrap	在 Stata 中，BC 百分位数置信区间可以通过在通过 bootstrap 计算标准误差的估计命令之后使用命令 estat bootstrap 来获得
A further improvement on the BC interval was made by Efron (1987) to account for the skewness in the sampling distribution, which can be modeled by specifying that the variance of the estimator depends on the parameter	Efron (1987) 对 BC 区间进行了进一步改进，以考虑抽样分布中的偏度，可以通过指定估计量的方差取决于参数来建模
The construction is a generalization of that for the BC intervals	该构造是 BC 区间构造的概括
From (10.29) we deduce that	从 (10.29) 我们推出
Percentile-t Interval	百分位数t区间
In many cases we can obtain improvement in accuracy by bootstrapping a studentized statistic such as a t-ratio	在许多情况下，我们可以通过引导学生化统计数据（例如 t 比）来提高准确性
The bootstrap t-ratio is	自举 t 比为
The bootstrap percentile-t confidence interval is defined as	自举百分位数-t 置信区间定义为
The form may appear unusual when compared with the percentile interval	与百分位间隔相比，该形式可能显得不寻常
As we show below, this construction is important for the interval to have correct coverage when the distribution is not symmetric	如下所示，当分布不对称时，这种结构对于区间具有正确的覆盖范围非常重要
The percentile-t has the following advantages	百分位数-t 具有以下优点
Third, the percentile-t intervals correspond to the set of parameter values "not rejected" by one-sided t-tests using bootstrap critical values (bootstrap tests are presented in Section 10.21)	第三，百分位数 t 区间对应于使用引导临界值（引导检验在第 10.21 节中介绍）的单侧 t 检验“未拒绝”的一组参数值
The percentile-t interval has the following disadvantages	百分位数-t 区间具有以下缺点
It is typical to calculate percentile-t intervals with t-ratios constructed with conventional asymptotic standard errors	通常使用传统渐近标准误差构建的 t 比率来计算百分位数 t 区间
It will not possess the higher-order accuracy properties of the following section, but it will satisfy the conditions for first-order validity	它不会具有以下部分的高阶精度特征，但它将满足一阶有效性的条件
Furthermore, percentile-t intervals can be constructed using bootstrap standard errors	此外，可以使用 bootstrap 标准误差构建百分位数 t 区间
We now describe the distribution theory for first-order validity of the percentile-t bootstrap	我们现在描述百分位-t bootstrap 的一阶有效性的分布理论
This motivates considering the broader situation where the sample and bootstrap t-ratios have the same asymptotic distribution but not necessarily normal	这促使我们考虑更广泛的情况，即样本和自举 t 比率具有相同的渐近分布，但不一定是正态分布
Thus the percentile-t is asymptotically valid	因此百分位数-t 是渐近有效的
The bootstrap percentile-t intervals for the four estimators are reported in Table 13.2	表 13.2 报告了四个估计量的 bootstrap 百分位数 t 区间
Percentile-t Asymptotic Refinement	百分位-t渐近细化
This section uses the theory of Edgeworth and Cornish-Fisher expansions introduced in Chapter 9.8-9.10 of Probability and Statistics for Economists	本节使用《经济学家的概率与统计》第 9.8-9.10 章中介绍的埃奇沃斯和康沃尔-费舍尔展开理论
If you are interested in the following refinement theory it is advisable to start by reading these sections of Probability and Statistics for Economists	如果你对以下精化理论感兴趣，建议你首先阅读《经济学家的概率与统计》的这些部分
The percentile-t interval can be viewed as the intersection of two one-sided confidence intervals	百分位数-t 区间可以视为两个单侧置信区间的交集
We now show that the percentile-t interval has improved accuracy	我们现在表明百分位数-t 区间提高了准确性
Thus the coverage of the percentile-t interval is	因此百分位数-t 区间的覆盖范围是
This is an improved rate of convergence relative to the one-sided asymptotic confidence interval	相对于单边渐进置信区间，这是一种改进的收敛速度
The following definition of the accuracy of a confidence interval is useful	以下置信区间准确性的定义很有用
Examining our results we find that one-sided asymptotic confidence intervals are first-order accurate but percentile-t intervals are second-order accurate	检查我们的结果，我们发现单边渐近置信区间是一阶准确的，但百分位数 t 区间是二阶准确的
Here, we have shown that the percentile-t interval achieves an asymptotic refinement	在这里，我们证明了百分位数-t 区间实现了渐近细化
This also has the practical finite-sample implication that the accuracy of the percentile-t interval in practice depends on the accuracy of the standard errors used to construct the t-ratio	这也具有实际的有限样本含义，即实践中百分位数 t 区间的准确性取决于用于构建 t 比率的标准误差的准确性
We do not go through the details, but normal-approximation bootstrap intervals, percentile bootstrap intervals, and bias-corrected percentile bootstrap intervals are all first-order accurate and do not achieve an asymptotic refinement	我们不详细介绍，但正态逼近自举区间、百分位自举区间和偏误校正百分位自举区间都是一阶精确的，并且没有实现渐近细化
See Section 3.10.4 of Hall (1992)	参见 Hall (1992) 第 3.10.4 节
Bootstrap Hypothesis Tests	自举假设检验
This allows the bootstrap to incorporate the randomness in standard error estimation	这允许引导程序将随机性纳入标准误差估计中
It is generally better to report p-values rather than critical values	通常报告 p 值比报告临界值更好
the percentage of bootstrap t-statistics that are larger than the observed t-statistic	大于观察到的 t 统计量的 bootstrap t 统计量的百分比
If desired, the bootstrap test can be implemented as a one-sided test	如果需要，引导检验可以作为单方面检验来实现
